last_update,station,city,state,country,latitude,longitude,pollutant_id,min_value,max_value,avg_value
05-09-2026," Indira Nagar, Raebareli - NTPC Unchahar",Raebareli,Uttar Pradesh,India,26.207781,81.245571,CO,47.0,64.0,55.0
05-09-2026," Indira Nagar, Raebareli - NTPC Unchahar",Raebareli,Uttar Pradesh,India,26.207781,81.245571,NH3,8.0,15.0,11.0
05-09-2026," Indira Nagar, Raebareli - NTPC Unchahar",Raebareli,Uttar Pradesh,India,26.207781,81.245571,NO2,16.0,35.0,23.0
05-09-2026," Indira Nagar, Raebareli - NTPC Unchahar",Raebareli,Uttar Pradesh,India,26.207781,81.245571,OZONE,26.0,45.0,35.0
05-09-2026," Indira Nagar, Raebareli - NTPC Unchahar",Raebareli,Uttar Pradesh,India,26.207781,81.245571,PM10,63.0,99.0,83.0
05-09-2026," Indira Nagar, Raebareli - NTPC Unchahar",Raebareli,Uttar Pradesh,India,26.207781,81.245571,PM2.5,28.0,49.0,41.0
05-09-2026," Indira Nagar, Raebareli - NTPC Unchahar",Raebareli,Uttar Pradesh,India,26.207781,81.245571,SO2,11.0,18.0,14.0
05-09-2026,"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,India,21.194815,81.31477,CO,9.0,18.0,12.0
05-09-2026,"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,India,21.194815,81.31477,NH3,3.0,5.0,4.0
05-09-2026,"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,India,21.194815,81.31477,NO2,4.0,11.0,6.0
05-09-2026,"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,India,21.194815,81.31477,OZONE,12.0,24.0,18.0
05-09-2026,"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,India,21.194815,81.31477,PM10,,,
05-09-2026,"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,India,21.194815,81.31477,PM2.5,6.0,24.0,15.0
05-09-2026,"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,India,21.194815,81.31477,SO2,5.0,13.0,7.0
05-09-2026,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,India,21.258815,81.578979,CO,21.0,22.0,21.0
05-09-2026,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,India,21.258815,81.578979,NH3,2.0,2.0,2.0
05-09-2026,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,India,21.258815,81.578979,NO2,0.0,2.0,1.0
05-09-2026,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,India,21.258815,81.578979,OZONE,13.0,17.0,14.0
05-09-2026,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,India,21.258815,81.578979,PM10,14.0,36.0,23.0
05-09-2026,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,India,21.258815,81.578979,PM2.5,7.0,28.0,15.0
05-09-2026,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,India,21.258815,81.578979,SO2,4.0,5.0,4.0
05-09-2026,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,India,26.902909,75.836858,CO,13.0,100.0,45.0
05-09-2026,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,India,26.902909,75.836858,NH3,5.0,12.0,8.0
05-09-2026,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,India,26.902909,75.836858,NO2,14.0,65.0,26.0
05-09-2026,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,India,26.902909,75.836858,OZONE,17.0,21.0,19.0
05-09-2026,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,India,26.902909,75.836858,PM10,13.0,54.0,34.0
05-09-2026,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,India,26.902909,75.836858,PM2.5,5.0,66.0,33.0
05-09-2026,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,India,26.902909,75.836858,SO2,6.0,78.0,26.0
05-09-2026,"Airport Area, Indore - IMC",Indore,Madhya Pradesh,India,22.7289,75.8076,CO,35.0,40.0,36.0
05-09-2026,"Airport Area, Indore - IMC",Indore,Madhya Pradesh,India,22.7289,75.8076,NH3,0.0,0.0,0.0
05-09-2026,"Airport Area, Indore - IMC",Indore,Madhya Pradesh,India,22.7289,75.8076,NO2,20.0,21.0,20.0
05-09-2026,"Airport Area, Indore - IMC",Indore,Madhya Pradesh,India,22.7289,75.8076,OZONE,5.0,8.0,6.0
05-09-2026,"Airport Area, Indore - IMC",Indore,Madhya Pradesh,India,22.7289,75.8076,PM10,28.0,72.0,44.0
05-09-2026,"Airport Area, Indore - IMC",Indore,Madhya Pradesh,India,22.7289,75.8076,PM2.5,32.0,80.0,47.0
05-09-2026,"Airport Area, Indore - IMC",Indore,Madhya Pradesh,India,22.7289,75.8076,SO2,9.0,10.0,10.0
05-09-2026,"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,India,21.121801,79.04952,CO,14.0,24.0,20.0
05-09-2026,"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,India,21.121801,79.04952,NH3,2.0,2.0,2.0
05-09-2026,"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,India,21.121801,79.04952,NO2,9.0,16.0,11.0
05-09-2026,"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,India,21.121801,79.04952,OZONE,11.0,18.0,13.0
05-09-2026,"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,India,21.121801,79.04952,PM10,34.0,62.0,44.0
